empty_wells	matrix	condition	baculosome	MgCl2_mM	buffer_ionic_strength_M	fc
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.1	1.00224277666386
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.09	1.05111139289
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.08	0.955569706777591
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.07	1.09511322870581
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.06	1.06613986404598
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.05	1.00688917861799
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.04	0.994442017656796
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.03	1.05494137956762
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.02	1.05544256010301
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.01	1.04467887875055
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.1	1.14770356649409
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.09	1.19722670803504
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.08	1.12378292894898
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.07	0.979939036946163
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.06	0.996897973059108
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.05	1.05195077947677
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.04	0.985404191616767
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.03	1.04562290638819
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.02	1.0225642520722
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	10	0.01	1.03160134255268
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	no matrix added	Control baculosome (-CYP3A4) (no matrix)	control (-CYP3A4)	0	0.1	0.997757223336138
