drug	log10_drug_M	norm_value	preincubation
azamulin	-11	0.999986276219113	FALSE
azamulin	-10.96	0.999984840564295	FALSE
azamulin	-10.92	0.999983254727086	FALSE
azamulin	-10.88	0.999981502997612	FALSE
azamulin	-10.84	0.999979568022783	FALSE
azamulin	-10.8	0.99997743063445	FALSE
azamulin	-10.76	0.999975069659582	FALSE
azamulin	-10.72	0.99997246171061	FALSE
azamulin	-10.68	0.999969580953854	FALSE
azamulin	-10.64	0.999966398853738	FALSE
azamulin	-10.6	0.999962883890283	FALSE
azamulin	-10.56	0.999959001247062	FALSE
azamulin	-10.52	0.999954712466568	FALSE
azamulin	-10.48	0.999949975069551	FALSE
azamulin	-10.44	0.99994474213461	FALSE
azamulin	-10.4	0.999938961833859	FALSE
azamulin	-10.36	0.999932576920106	FALSE
azamulin	-10.32	0.999925524160481	FALSE
azamulin	-10.28	0.999917733710942	FALSE
azamulin	-10.24	0.999909128425493	FALSE
azamulin	-10.2	0.999899623093318	FALSE
azamulin	-10.16	0.99988912359634	FALSE
azamulin	-10.12	0.999877525978911	FALSE
azamulin	-10.08	0.999864715420522	FALSE
azamulin	-10.04	0.999850565101439	FALSE
azamulin	-10	0.999834934950174	FALSE
azamulin	-9.96	0.99981767026052	FALSE
azamulin	-9.92	0.999798600164645	FALSE
azamulin	-9.88	0.999777535947351	FALSE
azamulin	-9.84	0.999754269185073	FALSE
azamulin	-9.8	0.999728569691523	FALSE
azamulin	-9.76	0.999700183250055	FALSE
azamulin	-9.72	0.999668829110775	FALSE
azamulin	-9.68	0.999634197228246	FALSE
azamulin	-9.64	0.999595945213164	FALSE
azamulin	-9.6	0.999553694968733	FALSE
azamulin	-9.56	0.999507028979549	FALSE
azamulin	-9.52	0.9994554862176	FALSE
azamulin	-9.48	0.999398557626495	FALSE
azamulin	-9.44	0.999335681141232	FALSE
azamulin	-9.4	0.999266236196666	FALSE
azamulin	-9.36	0.9991895376733	FALSE
azamulin	-9.32	0.999104829224116	FALSE
azamulin	-9.28	0.999011275920877	FALSE
azamulin	-9.24	0.9989079561525	FALSE
azamulin	-9.2	0.998793852701973	FALSE
azamulin	-9.16	0.998667842921548	FALSE
azamulin	-9.12	0.998528687918811	FALSE
azamulin	-9.08	0.998375020658594	FALSE
azamulin	-9.04	0.998205332877564	FALSE
azamulin	-9	0.998017960699766	FALSE
azamulin	-8.96	0.997811068832392	FALSE
azamulin	-8.92	0.997582633211711	FALSE
azamulin	-8.88	0.997330421959425	FALSE
azamulin	-8.84	0.997051974499936	FALSE
azamulin	-8.8	0.996744578679183	FALSE
azamulin	-8.76	0.99640524571607	FALSE
azamulin	-8.72	0.996030682808388	FALSE
azamulin	-8.68	0.995617263206762	FALSE
azamulin	-8.64	0.99516099356309	FALSE
azamulin	-8.6	0.994657478354666	FALSE
azamulin	-8.56	0.994101881182399	FALSE
azamulin	-8.52	0.993488882742085	FALSE
azamulin	-8.48	0.992812635272675	FALSE
azamulin	-8.44	0.992066713296032	FALSE
azamulin	-8.4	0.991244060480473	FALSE
azamulin	-8.36	0.990336932487096	FALSE
azamulin	-8.32	0.989336835695868	FALSE
azamulin	-8.28	0.988234461760059	FALSE
azamulin	-8.24	0.987019618005941	FALSE
azamulin	-8.2	0.985681153783259	FALSE
azamulin	-8.16	0.984206882984556	FALSE
azamulin	-8.12	0.982583503092731	FALSE
azamulin	-8.08	0.980796511291034	FALSE
azamulin	-8.04	0.978830118383476	FALSE
azamulin	-8	0.976667161532253	FALSE
azamulin	-7.96	0.974289017128044	FALSE
azamulin	-7.92	0.971675515474936	FALSE
azamulin	-7.88	0.968804859399516	FALSE
azamulin	-7.84	0.965653549387773	FALSE
azamulin	-7.8	0.962196318416376	FALSE
azamulin	-7.76	0.958406080276423	FALSE
azamulin	-7.72	0.954253895883741	FALSE
azamulin	-7.68	0.949708962820464	FALSE
azamulin	-7.64	0.944738634140939	FALSE
azamulin	-7.6	0.939308473274424	FALSE
azamulin	-7.56	0.933382352629489	FALSE
azamulin	-7.52	0.926922604198188	FALSE
azamulin	-7.48	0.919890231003812	FALSE
azamulin	-7.44	0.912245188548236	FALSE
azamulin	-7.4	0.903946745389589	FALSE
azamulin	-7.36	0.894953931497043	FALSE
azamulin	-7.32	0.885226081952569	FALSE
azamulin	-7.28	0.874723481758892	FALSE
azamulin	-7.24	0.863408114832448	FALSE
azamulin	-7.2	0.851244516594507	FALSE
azamulin	-7.16	0.838200724848421	FALSE
azamulin	-7.12	0.824249317838366	FALSE
azamulin	-7.08	0.809368521611342	FALSE
azamulin	-7.04	0.793543361258102	FALSE
azamulin	-7	0.776766822643995	FALSE
azamulin	-6.96	0.759040983369263	FALSE
azamulin	-6.92	0.740378064585842	FALSE
azamulin	-6.88	0.720801349735438	FALSE
azamulin	-6.84	0.700345913121722	FALSE
azamulin	-6.8	0.679059101330647	FALSE
azamulin	-6.76	0.657000714580052	FALSE
azamulin	-6.72	0.63424284356986	FALSE
azamulin	-6.68	0.610869330395036	FALSE
azamulin	-6.64	0.586974839177917	FALSE
azamulin	-6.6	0.562663542357385	FALSE
azamulin	-6.56	0.53804745062988	FALSE
azamulin	-6.52	0.513244436578115	FALSE
azamulin	-6.48	0.488376022056806	FALSE
azamulin	-6.44	0.463565015484508	FALSE
azamulin	-6.4	0.43893309567429	FALSE
azamulin	-6.36	0.414598442618549	FALSE
azamulin	-6.32	0.390673512319756	FALSE
azamulin	-6.28	0.367263042685336	FALSE
azamulin	-6.24	0.344462361744605	FALSE
azamulin	-6.2	0.322356049612569	FALSE
azamulin	-6.16	0.301016983653874	FALSE
azamulin	-6.12	0.280505774185864	FALSE
azamulin	-6.08	0.260870577615144	FALSE
azamulin	-6.04	0.242147256566335	FALSE
azamulin	-6	0.224359843285666	FALSE
azamulin	-5.96	0.207521253816212	FALSE
azamulin	-5.92	0.191634196096488	FALSE
azamulin	-5.88	0.176692214794071	FALSE
azamulin	-5.84	0.162680818650683	FALSE
azamulin	-5.8	0.14957864154685	FALSE
azamulin	-5.76	0.13735859553092	FALSE
azamulin	-5.72	0.12598898190102	FALSE
azamulin	-5.68	0.115434534404474	FALSE
azamulin	-5.64	0.10565737620506	FALSE
azamulin	-5.6	0.0966178791002192	FALSE
azamulin	-5.56	0.08827541933074	FALSE
azamulin	-5.52	0.0805890291208053	FALSE
azamulin	-5.48	0.0735179468193611	FALSE
azamulin	-5.44	0.0670220712551828	FALSE
azamulin	-5.4	0.0610623277813509	FALSE
azamulin	-5.36	0.0556009546053076	FALSE
azamulin	-5.32	0.0506017185190261	FALSE
azamulin	-5.28	0.0460300691951979	FALSE
azamulin	-5.24	0.0418532409217132	FALSE
azamulin	-5.2	0.0380403101134336	FALSE
azamulin	-5.16	0.0345622162544	FALSE
azamulin	-5.12	0.0313917531546178	FALSE
azamulin	-5.08	0.0285035366065761	FALSE
azamulin	-5.04	0.0258739537367131	FALSE
azamulin	-5	0.0234810985933065	FALSE
azamulin	-4.96	0.0213046978123761	FALSE
azamulin	-4.92	0.019326029567254	FALSE
azamulin	-4.88	0.0175278384400473	FALSE
azamulin	-4.84	0.0158942483546979	FALSE
azamulin	-4.8	0.0144106752793216	FALSE
azamulin	-4.76	0.0130637410357672	FALSE
azamulin	-4.72	0.0118411892415305	FALSE
azamulin	-4.68	0.0107318041474473	FALSE
azamulin	-4.64	0.00972533291805065	FALSE
azamulin	-4.6	0.00881241172427308	FALSE
azamulin	-4.56	0.0079844958748978	FALSE
azamulin	-4.52	0.00723379409878703	FALSE
azamulin	-4.48	0.00655320699994734	FALSE
azamulin	-4.44	0.00593626963793328	FALSE
azamulin	-4.4	0.00537709813345577	FALSE
azamulin	-4.36	0.00487034016033218	FALSE
azamulin	-4.32	0.00441112915750127	FALSE
azamulin	-4.28	0.00399504207653442	FALSE
azamulin	-4.24	0.00361806046907063	FALSE
azamulin	-4.2	0.00327653471332364	FALSE
azamulin	-4.16	0.00296715117799415	FALSE
azamulin	-4.12	0.00268690212451147	FALSE
azamulin	-4.08	0.00243305815366374	FALSE
azamulin	-4.04	0.00220314300965319	FALSE
azamulin	-4	0.00199491056289043	FALSE
azamulin	-3.96	0.00180632380194923	FALSE
azamulin	-3.92	0.00163553567470128	FALSE
azamulin	-3.88	0.0014808716284641	FALSE
azamulin	-3.84	0.0013408137088089	FALSE
azamulin	-3.8	0.00121398608632822	FALSE
azamulin	-3.76	0.00109914189004148	FALSE
azamulin	-3.72	0.000995151235140006	FALSE
azamulin	-3.68	0.000900990341367088	FALSE
azamulin	-3.64	0.000815731646474487	FALSE
azamulin	-3.6	0.000738534826873136	FALSE
azamulin	-3.56	0.000668638644777001	FALSE
azamulin	-3.52	0.000605353547856155	FALSE
azamulin	-3.48	0.000548054953649343	FALSE
azamulin	-3.44	0.000496177156775716	FALSE
azamulin	-3.4	0.000449207802334847	FALSE
azamulin	-3.36	0.000406682873820668	FALSE
azamulin	-3.32	0.000368182148419573	FALSE
azamulin	-3.28	0.00033332507673761	FALSE
azamulin	-3.24	0.00030176704783832	FALSE
azamulin	-3.2	0.000273196003982892	FALSE
azamulin	-3.16	0.000247329372672738	FALSE
azamulin	-3.12	0.000223911286544471	FALSE
azamulin	-3.08	0.00020271006433733	FALSE
azamulin	-3.04	0.000183515928608612	FALSE
azamulin	-3	0.000166138938107363	FALSE
azamulin	-2.96	0.000150407114736357	FALSE
azamulin	-2.92	0.000136164746903858	FALSE
azamulin	-2.88	0.000123270852733694	FALSE
azamulin	-2.84	0.000111597788144502	FALSE
azamulin	-2.8	0.000101029986200969	FALSE
azamulin	-2.76	9.14628154008229e-05	FALSE
azamulin	-2.72	8.28015457188185e-05	FALSE
azamulin	-2.68	7.49604122671401e-05	FALSE
azamulin	-2.64	6.78617673835198e-05	FALSE
azamulin	-2.6	6.14353128151737e-05	FALSE
azamulin	-2.56	5.56174044547809e-05	FALSE
azamulin	-2.52	5.035042278108e-05	FALSE
azamulin	-2.48	4.55822028103744e-05	FALSE
azamulin	-2.44	4.12655179448947e-05	FALSE
azamulin	-2.4	3.73576126232839e-05	FALSE
azamulin	-2.36	3.38197791741832e-05	FALSE
azamulin	-2.32	3.06169746900276e-05	FALSE
azamulin	-2.28	2.77174741445979e-05	FALSE
azamulin	-2.24	2.50925563277578e-05	FALSE
azamulin	-2.2	2.27162194955741e-05	FALSE
azamulin	-2.16	2.05649239283176e-05	FALSE
azamulin	-2.12	1.86173588475502e-05	FALSE
azamulin	-2.08	1.68542313961179e-05	FALSE
azamulin	-2.04	1.52580755866542e-05	FALSE
azamulin	-2	1.38130793355068e-05	FALSE
azamulin	-1.96	1.25049278682307e-05	FALSE
azamulin	-1.92	1.13206619480316e-05	FALSE
azamulin	-1.88	1.02485495251209e-05	FALSE
azamulin	-1.84	9.27796953820214e-06	FALSE
azamulin	-1.8	8.39930671428537e-06	FALSE
azamulin	-1.76	7.60385633105688e-06	FALSE
azamulin	-1.72	6.8837379934045e-06	FALSE
azamulin	-1.68	6.23181757583381e-06	FALSE
azamulin	-1.64	5.64163655560923e-06	FALSE
azamulin	-1.6	5.10734803398339e-06	FALSE
azamulin	-1.56	4.62365882054694e-06	FALSE
azamulin	-1.52	4.18577699551738e-06	FALSE
azamulin	-1.48	3.78936444283474e-06	FALSE
azamulin	-1.44	3.43049387396415e-06	FALSE
azamulin	-1.4	3.10560992398325e-06	FALSE
azamulin	-1.36	2.81149392989692e-06	FALSE
azamulin	-1.32	2.54523204490559e-06	FALSE
azamulin	-1.28	2.30418637243124e-06	FALSE
azamulin	-1.24	2.0859688326404e-06	FALSE
azamulin	-1.2	1.88841750523315e-06	FALSE
azamulin	-1.16	1.70957521092271e-06	FALSE
azamulin	-1.12	1.54767012277552e-06	FALSE
azamulin	-1.08	1.40109821285873e-06	FALSE
azamulin	-1.04	1.26840735982108e-06	FALSE
azamulin	-1	1.14828296530558e-06	FALSE
ketoconazole	-11	0.999907709616957	FALSE
ketoconazole	-10.96	0.999893620753414	FALSE
ketoconazole	-10.92	0.999877381376158	FALSE
ketoconazole	-10.88	0.999858663319034	FALSE
ketoconazole	-10.84	0.999837088366556	FALSE
ketoconazole	-10.8	0.999812220630126	FALSE
ketoconazole	-10.76	0.999783557766047	FALSE
ketoconazole	-10.72	0.999750520860361	FALSE
ketoconazole	-10.68	0.999712442779491	FALSE
ketoconazole	-10.64	0.999668554755756	FALSE
ketoconazole	-10.6	0.999617970942698	FALSE
ketoconazole	-10.56	0.99955967063609	FALSE
ketoconazole	-10.52	0.999492477812024	FALSE
ketoconazole	-10.48	0.999415037582767	FALSE
ketoconazole	-10.44	0.999325789113474	FALSE
ketoconazole	-10.4	0.999222934477592	FALSE
ketoconazole	-10.36	0.999104402854953	FALSE
ketoconazole	-10.32	0.998967809393426	FALSE
ketoconazole	-10.28	0.998810407961707	FALSE
ketoconazole	-10.24	0.998629036916667	FALSE
ketoconazole	-10.2	0.998420056893026	FALSE
ketoconazole	-10.16	0.99817927949573	FALSE
ketoconazole	-10.12	0.99790188563627	FALSE
ketoconazole	-10.08	0.997582332103971	FALSE
ketoconazole	-10.04	0.997214244803552	FALSE
ketoconazole	-10	0.996790296923635	FALSE
ketoconazole	-9.96	0.99630207013191	FALSE
ketoconazole	-9.92	0.995739896727844	FALSE
