ocnt_batch	ammonium_fluoride_area	ammonium_formate_area
OCNT-2317766-AA-004	15020.5	6278
OCNT-0495638-AA-002	2118.5	551.5
OCNT-2315207-AA-004	221043	96600.5
OCNT-2316486-AA-004	77891	14342.5
OCNT-2313623-AA-004	21078	9677
OCNT-2314903-AA-004	5073.5	698
OCNT-0022301-AA-002	46921	14623.5
OCNT-2316182-AA-004	53445.5	58273.5
OCNT-2317462-AA-004	9998	5733
OCNT-2316502-AA-004	40635.5	44872.5
OCNT-2328685-AA-001	117	22
OCNT-2317782-AA-004	27559.5	19569.5
OCNT-2315223-AA-004	41916	16910
OCNT-2313943-AA-004	16415.5	9577
OCNT-2314919-AA-004	5263.5	5142.5
OCNT-2316198-AA-004	46486	55327.5
OCNT-2328357-BQ-002	9245.5	3345.5
OCNT-2313639-AA-004	101620	48945
OCNT-2317478-AA-004	25383.5	17810
OCNT-2313959-AA-004	23812.5	20976
OCNT-0493822-AA-002	3052	559.5
OCNT-2316518-AA-004	52410	26603.5
OCNT-2317798-AA-004	10878	2478.5
OCNT-2315239-AA-004	26790	7943
OCNT-2313655-AA-004	34929.5	8192
OCNT-2314935-AA-004	9437.5	2043.5
OCNT-2316214-AA-004	42581.5	11930
OCNT-2317494-AA-004	25788	9200.5
OCNT-2328350-AA-001	76	0
OCNT-2313975-AA-004	7524	1654.5
OCNT-2315255-AA-004	76042.5	41139.5
OCNT-2317814-AA-004	4727.5	1499.5
OCNT-2328703-BQ-001	282133	202714
OCNT-2316534-AA-004	21160.5	2828.5
OCNT-0483263-CG-001	223068.5	194577.5
OCNT-2313671-AA-004	11454.5	5840.5
OCNT-2314951-AA-004	185665.5	81262
OCNT-2316230-AA-004	53590	12783.5
OCNT-2317510-AA-004	71512	40197
OCNT-2315271-AA-004	178603.5	137651.5
OCNT-2317830-AA-004	24808	9068.5
OCNT-2316550-AA-004	19602.5	5737
OCNT-0498273-AA-002	63942.5	7302.5
OCNT-2316246-AA-004	32	24
OCNT-2314967-AA-004	18619.5	23142.5
OCNT-2313687-AA-004	95530	30777.5
OCNT-2328364-AA-001	50742.5	28259
OCNT-2317526-AA-004	84131	41376.5
OCNT-2316566-AA-004	44606.5	18939
OCNT-2328725-AA-001	0	0
OCNT-2315287-AA-004	24747	8002.5
OCNT-2314007-AA-004	136123.5	31720.5
OCNT-2317846-AA-004	86767	105127.5
OCNT-2314983-AA-004	5721.5	1193
OCNT-2328389-AA-001	211.5	0
OCNT-2317542-AA-004	35040	6495
OCNT-2313703-AA-004	8480	3261
OCNT-2316262-AA-004	358	137.5
OCNT-2328751-AA-001	170	68
OCNT-2315303-AA-004	11783.5	848.5
OCNT-2317862-AA-004	68928	43005
OCNT-2314023-AA-004	14512.5	1803.5
OCNT-2316582-AA-004	99710	112177.5
OCNT-2313719-AA-004	139886	17465.5
OCNT-2314999-AA-004	18909.5	10125
OCNT-2317558-AA-004	54827.5	28338.5
OCNT-0497901-AA-002	9702	4153
OCNT-2316278-AA-004	27108	19983
OCNT-2316598-AA-004	14361.5	3262
OCNT-2315319-AA-004	27762.5	10638.5
OCNT-2328743-AA-001	0	0
OCNT-2314039-AA-004	177645.5	107041
OCNT-2317878-AA-004	366892.5	220619.5
OCNT-2316294-AA-004	14379	4451
OCNT-2317574-AA-004	185895	48461
OCNT-2315015-AA-004	15657.5	12460.5
OCNT-2328405-AA-001	3357.5	826.5
OCNT-2316614-AA-004	8995.5	3710.5
OCNT-2314055-AA-004	17289.5	8280.5
OCNT-0498119-AA-003	0	0
OCNT-2317894-AA-004	8545	4061
OCNT-2315335-AA-004	18219	11450
OCNT-2317590-AA-004	42910	16170.5
OCNT-2315031-AA-004	102899.5	40207
OCNT-2328398-AA-001	10417	4416
OCNT-2316310-AA-004	42073	30416
OCNT-2313751-AA-004	93951.5	38326.5
OCNT-2316630-AA-004	9145	5354
OCNT-0022315-AA-001	144968.5	75150.5
OCNT-2315351-AA-004	14127.5	4864
OCNT-2314071-AA-004	24798.5	13108.5
OCNT-2317910-AA-004	27595	17417.5
OCNT-2313767-AA-004	258058	84186
OCNT-2317606-AA-004	37738	18498
OCNT-2316326-AA-004	4339.5	1106
OCNT-2315047-AA-004	13568.5	3936
OCNT-2328429-AQ-001	387287	265123
OCNT-2328788-AQ-001	16680	21487
OCNT-2317926-AA-004	394333	251504
OCNT-2316646-AA-004	34532	10732.5
OCNT-2315367-AA-004	202594.5	163529.5
OCNT-2314087-AA-004	62529	14749
OCNT-2317622-AA-004	33803	13641
OCNT-2315063-AA-004	33145.5	6472
OCNT-2316342-AA-004	151396	34558.5
OCNT-2313783-AA-004	109281.5	64015.5
OCNT-2328417-AA-001	0	172.5
OCNT-2314103-AA-004	19964	9291
OCNT-2317942-AA-004	11031	6932.5
OCNT-2315383-AA-004	661	390.5
OCNT-2316662-AA-004	219340.5	141758.5
OCNT-0483505-AA-003	18740	9758
OCNT-2316358-AA-004	10866.5	3133
OCNT-2315079-AA-004	339394	202417
OCNT-2317638-AA-004	4218.5	1600.5
OCNT-0494084-AA-002	36786.5	9797.5
OCNT-2317958-AA-004	32761.5	16148.5
OCNT-2316678-AA-004	269558.5	124274.5
OCNT-2315399-AA-004	105766	69300.5
OCNT-2328810-AA-001	97	25
OCNT-2314119-AA-004	93924.5	24597
OCNT-2313815-AA-004	7816	4076
OCNT-2317654-AA-004	12541.5	4835
OCNT-2316374-AA-004	22355.5	8601
OCNT-2315095-AA-004	342595	85891
OCNT-2328438-AA-001	38114	4485.5
OCNT-2316694-AA-004	56963.5	36015.5
OCNT-2317974-AA-004	9548.5	8249
OCNT-2315415-AA-004	31493.5	10050
OCNT-0014841-AQ-001	1479.5	397
OCNT-2314135-AA-004	296304	127402.5
OCNT-2315111-AA-004	8907	5427
OCNT-2313831-AA-004	9946.5	3984.5
OCNT-0022329-AA-002	272448.5	221850.5
OCNT-2317670-AA-004	11164.5	3806.5
OCNT-2316390-AA-004	23740	22151
OCNT-2328828-AA-001	14115.5	21036
OCNT-2314151-AA-004	156610	69512
OCNT-2316710-AA-004	23501	3862
OCNT-2315431-AA-004	133012	40739
OCNT-2317990-AA-004	38951	20776.5
OCNT-2328454-CM-001	1095.5	1524
OCNT-2313847-AA-004	13337.5	6788
OCNT-2316406-AA-004	620	127.5
OCNT-2317686-AA-004	45273	36767
OCNT-2315127-AA-004	68158.5	36916
OCNT-2313642-AA-004	10579	355
OCNT-2315039-AA-004	75474	6765
OCNT-2314163-AA-004	77951.5	30218
OCNT-2318006-AA-004	13916.5	6505
OCNT-2316726-AA-004	11385	1592.5
OCNT-2314167-AA-004	21258	4570
OCNT-2315447-AA-004	45487	18259.5
OCNT-0494086-AA-002	0	0
OCNT-2316422-AA-004	509.5	75
OCNT-2317702-AA-004	8127	3161.5
OCNT-2315143-AA-004	7596	2488.5
OCNT-2313863-AA-004	133014.5	68701
OCNT-2315463-AA-004	234358	81815
OCNT-2318022-AA-004	108169	25815.5
OCNT-2314183-AA-004	84035	51237.5
OCNT-2316742-AA-004	46901.5	24943
OCNT-2315159-AA-004	72322.5	62373.5
OCNT-2317718-AA-004	4417.5	2563.5
OCNT-2316438-AA-004	40	0
OCNT-2313879-AA-004	6881.5	3332
OCNT-2318038-AA-004	10192.5	6714
OCNT-2314199-AA-004	15896	4513
OCNT-2315479-AA-004	212421	141270.5
OCNT-2316758-AA-004	212327	138612.5
OCNT-2328324-AA-001	0	0
OCNT-2313575-AA-004	80178	36530
OCNT-2317414-AA-004	78562.5	49078.5
OCNT-2316134-AA-004	22929	6035
OCNT-2314855-AA-004	8298	2922
OCNT-2328671-AQ-001	26686	11758.5
OCNT-2317734-AA-004	15091.5	5089
OCNT-2316454-AA-004	10902	4520
OCNT-2315175-AA-004	225409.5	147694.5
OCNT-2313895-AA-004	230118.5	71691
OCNT-2317430-AA-004	40852	24387.5
OCNT-2314871-AA-004	43083	36343.5
OCNT-2316150-AA-004	45069.5	20299
OCNT-2313591-AA-004	25006	8579.5
OCNT-2328316-AA-001	4227.5	1545
OCNT-2328664-AA-001	5473	474
OCNT-2313911-AA-004	37901	19211.5
OCNT-2317750-AA-004	69865	37657
OCNT-2315191-AA-004	52997	22724
OCNT-2316470-AA-004	125505.5	104145
OCNT-2328341-AA-001	69	101.5
OCNT-2313607-AA-004	5666.5	1204.5
OCNT-2317446-AA-004	283040.5	189009
OCNT-2314887-AA-004	73691	21020
OCNT-2316166-AA-004	20883	6283
OCNT-2315220-AA-004	4901.5	905.5
OCNT-2316499-AA-004	10781.5	9790.5
OCNT-2313940-AA-004	147369.5	43012
OCNT-2328521-AA-001	39931	10937.5
OCNT-2317779-AA-004	583.5	24
OCNT-2317475-AA-004	9744.5	2596.5
OCNT-2316195-AA-004	16625.5	3725
OCNT-2314916-AA-004	25364	8049
OCNT-2313636-AA-004	43955.5	17217
OCNT-2328338-AA-001	0	0
OCNT-2313956-AA-004	9705.5	4646.5
OCNT-2316515-AA-004	202737	50263.5
OCNT-2317795-AA-004	11525.5	3940.5
OCNT-2315236-AA-004	21310	6597.5
OCNT-2329000-FP-001	0	0
OCNT-2317491-AA-004	203268.5	55440
OCNT-2316211-AA-004	9953.5	3252
OCNT-2314932-AA-004	19423	6179
OCNT-2328361-AA-001	48420.5	16510.5
OCNT-2313652-AA-004	11917	4982.5
OCNT-2315252-AA-004	87442.5	23580.5
OCNT-2313972-AA-004	17188.5	6304.5
OCNT-2328540-CG-001	502475.5	329177
OCNT-2317811-AA-004	40820	21881
OCNT-2316531-AA-004	309059.5	81225
OCNT-2314948-AA-004	1774	161.5
OCNT-2316227-AA-004	147478.5	37694.5
OCNT-2313668-AA-004	12076.5	3540.5
OCNT-2328356-AA-001	218388.5	120362.5
OCNT-2317507-AA-004	31534	6894.5
OCNT-2316547-AA-004	81187	29793
OCNT-2313988-AA-004	61529.5	14079
OCNT-2009678-AQ-001	219899.5	134180
OCNT-2317827-AA-004	90331	29311
OCNT-2315268-AA-004	151379.5	51994
OCNT-2314964-AA-004	50738.5	49394
OCNT-2316243-AA-004	63942.5	21846.5
OCNT-0478484-AQ-002	175010.5	150427
OCNT-2313684-AA-004	11206.5	629
OCNT-2317523-AA-004	114331	71718
OCNT-0494193-AA-002	122016	60967
OCNT-2314004-AA-004	89270.5	36262.5
OCNT-2317843-AA-004	28674.5	16149.5
OCNT-2315284-AA-004	120453.5	33531
OCNT-2328370-AQ-001	283311	214600
OCNT-2317539-AA-004	4576	985
OCNT-2314980-AA-004	18787	6091
OCNT-2313700-AA-004	12193	2726
OCNT-2316259-AA-004	5463.5	1575.5
OCNT-2317859-AA-004	30333	5598
OCNT-2316579-AA-004	358745.5	177891
OCNT-2314020-AA-004	40125.5	15833.5
OCNT-2315300-AA-004	55292	27214
OCNT-0495275-AA-002	98702	74393
OCNT-2328396-AA-001	11572	2306
OCNT-2317555-AA-004	16554.5	7730.5
OCNT-2316275-AA-004	90117.5	45289.5
OCNT-2313716-AA-004	19525.5	6752
OCNT-2314996-AA-004	21812.5	4986
OCNT-2328579-AA-001	0	0
OCNT-2314036-AA-004	13513.5	3148.5
OCNT-2317875-AA-004	63356	30696
OCNT-2316595-AA-004	9210.5	4097
OCNT-2315316-AA-004	31832.5	5583
OCNT-2316291-AA-004	88097.5	34792
OCNT-2313732-AA-004	38327	15512
OCNT-2317571-AA-004	67893.5	16392.5
OCNT-2315012-AA-004	20847	8895
OCNT-0497936-AA-002	12757.5	1271.5
OCNT-2314052-AA-004	16744	3123.5
OCNT-2316611-AA-004	98122.5	103984.5
OCNT-2317891-AA-004	272292	211998
OCNT-0497732-AA-002	92	0
OCNT-2315332-AA-004	9783.5	1632
OCNT-2317587-AA-004	23702	13803.5
OCNT-2315028-AA-004	86	0
OCNT-2313748-AA-004	9064.5	2676
OCNT-2328414-AA-001	12240.5	1993
OCNT-2316307-AA-004	41123	11589.5
OCNT-2316627-AA-004	43013.5	18632.5
OCNT-0498157-AA-002	887	103
OCNT-2317907-AA-004	160837	52911
OCNT-2315348-AA-004	43473.5	15491.5
OCNT-2315044-AA-004	43659	12586
OCNT-2316323-AA-004	160291.5	75103
OCNT-2317603-AA-004	9052	4341
OCNT-2313764-AA-004	6977.5	1913
OCNT-1911798-AQ-002	97335.5	98501.5
OCNT-2314084-AA-004	0	0
OCNT-0496415-AA-002	294	618
OCNT-2316643-AA-004	38651	20776
OCNT-2315364-AA-004	2725.5	819
OCNT-2317923-AA-004	184808.5	60113.5
OCNT-2316339-AA-004	123722.5	42966.5
OCNT-2315060-AA-004	83880.5	36789.5
OCNT-2328434-AA-001	3299.5	3114.5
OCNT-2313780-AA-004	401944	98232
OCNT-2317619-AA-004	80365.5	47590
OCNT-0498158-AA-002	0	0
OCNT-2315380-AA-004	17607	5091
OCNT-2314100-AA-004	3350	1595.5
OCNT-2317939-AA-004	32876.5	2982.5
